S06C001	S07C001	S08C001	S09C001	S14C001	S15C001	S16C001	S17C001	S18C001	S19C001	S20C001	S21C001	S22C001	S23C001	S24C001	S26C001	S28C001	S29C001	S30C001	S31C001	S32C001	S33C001	S34C001	S35C001	S37C001	S47C001	S49C001	S51C001	S52C001	S53C001	S54C001	S55C001	S56C001	S57C001	S58C001	S60C001	S61C001	S63C001	S64C001	S66C001	S67C001	S68C001	S69C001	S70C001
scaffold100|size16054	0.251728269290176	0.065038399906169	1.14143117580242	0.228230777527309	0.561395065695542	0.129579476300305	0.623320127960408	0.876173465764207	0.439992282597361	0.244444721999049	0.153055550807814	0.1931220305648	0.872440009256206	1.01609873654207	1.20665174394015	0.58807252926779	1.41427474565705	0.638019610467768	0.15694129260604	0.230264620377809	0.140151746543995	0.376065511410947	0	0.189643523723506	0	0.527315859625072	0	0	0	0.0337109195698316	0	0	0.0507935576240201	0	0.0476006908968805	0.0740957995121975	0	0	0	0.517958230912171	0.0900136132343103	0.173465873208668	0.0904513405829103	0.062289617060352
scaffold101|size16015	0.222155295526526	0.502170455855807	0.516781485873942	0.0961713453731773	1.16809494014038	0.580410309847215	1.03763489583635	0.604778117114055	0.0773362396169898	0.195498474248919	0.517110109626038	0.191484787642721	0.68533704977472	0	0.215232796248688	1.13735484788493	2.03144505939642	0.471943986368404	1.20744151353543	1.29464796050976	1.23663843854617	1.52438652624886	0.463477166256176	0.611882482959007	0.510822225220134	1.0420286775709	0.274123508150848	0.42494763571252	0.26387486044589	1.65768428506206	0	0.818374751719043	0.785739435552106	0.243477528166836	0.740574666629942	0.852113518051345	0.62587867965312	0.638540741962425	0.503873527838599	2.96409174236894	0.72734965800993	0.668383154083108	0.704971761714504	1.15607704177198
scaffold102|size15970	0.361892035119301	0.350252640696944	0.0391171004504156	0.0578654012329906	0.640878503139907	0.159829504901837	0.796199576774351	0	0.155108312769705	0.343946222093667	0	0	0.230072609981453	0.0525313684758986	0.18798904652254	0.441465928163575	1.23382591686787	1.06819767368075	0.656387723412424	0.129029916894865	0.118186444549781	0.0829011078872528	0.178832577081265	0	0	0.0540499080321875	0	0.21348306740159	0	0.62670336115548	0	0	0.123885037073828	0	0	0	0	0.111811033037846	0	0.544987988696339	0.0467720340651673	0	0.102292989945698	0.533894463271517
scaffold103|size15900	1.55676915191855	0.89707631530956	1.36151596966828	0.81946019106722	1.39982522231766	1.04105752191421	1.43162379171366	1.11333402587819	1.41207986948691	0.903187156223954	0.984904420244005	0.7238680355279	1.05469796079645	1.24505170929211	1.33600717149334	1.91739463407732	1.99524342978714	1.93546572088693	1.53440149560092	0.984684097370567	1.11832500575616	0.882037417202233	0.457255710620912	0.829953295526191	0.548382750397468	1.32100468098542	0.338310312426796	0.29235741796807	0.674847400546351	0.667179582333671	0.372759422658693	0.499392767097618	0.55965674429314	0.236958771741463	0.302009513531542	0.775496898573488	0.225371944767643	0.78184475978205	0.697139967200148	1.90794734039448	1.060841913015	0.781073813554557	0.487460051787424	0.686673049924464
scaffold104|size15868	0.195801561074896	0.181343763346475	0.16081922546907	0.193443400734572	0.189150536603415	0.104288886247671	0.276891717759038	0.176058919035262	0.0883884195329479	0.337310881670661	0.0436755346017386	0.263451703147182	0.392351193291937	0.158974271386737	0.378090226204911	0.310073609140749	0.201957569442724	0.665041423567794	0.212688011743071	0.0743917742545765	0.201267639195065	0.10041290884034	0.0210131407358549	0	0.0474261028125399	0.0805886556007464	0.163263321485884	0	0	0.0705166021062564	0	0.0389482125435859	0	0	0.158142600842951	0.015617568447095	0	0.272214842806763	0.140906676290261	0.131954852515233	0.112912913866031	0.0467782764367769	0.16777123811968	0.31399317780624
scaffold105|size15809	0.437387449573593	0.148997381285031	0.316123774656531	0.033500358206538	0.153042184851311	0.163340887714	0.325104727977436	0.16144823904803	0.0178867519464823	0.224297629193753	0.191738234304043	0.11803496359211	0.24632089807876	0.147406532593969	0.193573174210253	0.394982540721071	0.647090662093494	0.495401975976428	0.379413844695232	0.237763115511261	0.455638351034125	0.325819000987563	0.227880581296129	0.0145520557099823	0.0184667196197289	0.25520610938163	0.0847617044417521	0.0435461642555551	0	0.124211563627663	0	0.106657455299985	0.0676468601384784	0.0729640388509319	0.131297498878814	0.108685921168636	0.062364022079007	0.129085399645006	0.340960616726041	0.338899134481429	0.138039337507039	0.156725393087485	0.0210496711247001	0
scaffold106|size15427	0.85594486791534	0.686486396935319	0.595499195635934	0.326133924121865	0.91377417977697	1.4617965905652	1.66577450074392	2.55459253349364	1.21818918939185	0.380976122934749	0.375728452721944	0.374437591771187	2.81224648964844	1.90746697550609	1.39295198604881	2.04291179651068	1.95081250160069	1.23724613870421	0.234226221878863	0.298913810694261	0.420781669371688	0.177835127255303	0.093033431511827	0.131990520443089	0.107656467866415	0.431869313583229	0	0	0.140981520960959	0.184175425524334	0	0	0	0.0780216609633172	0.0428413640056704	0	0.0901270422944557	0.300206159979457	0.231156426835532	0.311853035757272	0	0.0666980264293699	0	0.562163288076407
scaffold107|size15344	2.99130317630625	1.70160172320551	4.1098830459003	2.22942514329587	5.2768657624126	1.26537038474763	4.86674810782197	3.33451644542595	1.37700068749474	0.390992006068217	1.29205168264173	1.07785324874049	4.58451504323889	3.26110777272545	2.21305279256543	8.75852679941588	8.67154350542937	13.9730106177487	4.72270328581272	3.3596005189892	2.12797202409912	4.57376920891995	1.62508163388623	2.13188493914014	0.519630858686036	5.2154654363273	0.509427381964591	1.34469304882533	2.55857124991014	5.87902216833311	0.236712100285637	1.59099285371116	4.94151010986579	2.3815017657883	4.7727019348142	5.68512062002825	2.43547236976578	2.58642869670343	2.56266699577009	8.83113734226907	4.43817300058316	6.99913868117553	5.5985505889253	5.6219332179841
scaffold108|size15110	0.0891516795760971	0.441345885946106	0.724997232806992	0	0.472662629916704	0.156256876491473	0.668495618485869	0.112158140060269	0.574526142205395	0.136522799793406	0.151035265211805	0.291666020558434	0.231736464404353	0.190854266631393	0.425852746218165	0.294701719815034	0.951911687755059	0.323748567176165	0.271391495234455	0.202618995538396	0.216657251146665	0.226621997268469	0.16454511178663	0.0437320860879507	0.35507711798997	0.102827177782479	0.0861490492723238	0.0195259897149306	0.0214086845038581	0.301782555475733	0	0	0.156002661899004	0	0.147964738712567	0.490208588689445	0.0999648582133746	0	0.0377274196109828	0.657052638022036	0.102099205110474	0.316432306956278	0.297516717829391	0.656006356243795
scaffold109|size14978	0.216865101956016	0.113694789402893	0.338569560840814	0	0.612826892029747	0.1704150883484	0.372034573640781	0.283895058802453	0.277523262409701	0.0289306021309288	0.637975574868346	0.249811254231592	0.188700328759299	0.525487828727826	0.358273769966333	0.639588288858652	1.02484679921529	0.483711587669618	0.368967057755515	0.293125963531054	0.180477661467746	0.266335565569857	0.0551704281647955	0.256861852267327	0.312726736217725	0.264669544660515	0.317385610073233	0.0656602360334271	0.187942963363285	0.333738900609255	0.488036605577312	0.306777971360074	0.224910002508813	0.126400432242181	0.162713269580439	0.469526562963946	0.118567704358792	0.387547690126928	0.131941016320565	0.349306683209195	0	0.18353498685329	0.317104828762369	0.320547312505725
