S06C001	S07C001	S08C001	S09C001	S14C001	S15C001	S16C001	S17C001	S18C001	S19C001	S20C001	S21C001	S22C001	S23C001	S24C001	S26C001	S28C001	S29C001	S30C001	S31C001	S32C001	S33C001	S34C001	S35C001	S37C001	gap1	gap2	S47C001	S49C001	S51C001	S52C001	S53C001	S54C001	S55C001	S56C001	S57C001	S58C001	S60C001	S61C001	S63C001	S64C001	S66C001	S67C001	S68C001	S69C001	S70C001
scaffold1|size70376	4.99984106890566	6.76371836109586	4.46505433624294	4.75311489188212	2.82963879216345	7.68235213431642	2.62559417925835	2.79289735841011	1.50458417261283	4.41260504592769	4.04705506630286	2.90677762276325	2.15180913410558	2.01292870870051	3.10958820845994	3.72532085365522	4.30756192766629	5.65286865677272	2.14971969456139	7.23859896601998	6.73785617063065	6.05778382831659	6.66229726828704	6.19730140330912	1.84078751115588	0	0	1.73080749554341	3.0227212742592	4.84263326379258	7.80730234506465	8.06155840106438	6.30922080923323	1.33440734809425	7.14137790000477	3.41531158485663	7.54731981816478	7.71468279075846	7.90180835923642	5.10123541179913	3.42884133983155	5.97958185008822	7.35762006526692	6.25638850937045	0	7.73906529371376
scaffold2|size68964	30.4946987071758	44.1091070326034	31.3790342673464	25.3829972652821	15.6960566780392	28.5226076443123	16.4077684224925	14.7106296756958	8.22309392507871	26.3767818807637	17.8939225197725	10.540777562744	9.96126658303625	8.35158985977225	19.4450242375318	14.6600460695637	18.6995784528683	27.5486564654941	7.19698867666181	40.7122096266446	38.8258474235552	40.6642923924045	39.1418061166618	45.8197662369081	6.86130796664211	0	0	6.74668283037901	20.5245006294428	42.3053777975526	30.7327345130165	40.9150275245863	38.9756101437629	8.99922487022433	45.6403492593964	20.623631774714	58.4919847228647	39.5996485608419	42.4874104924263	31.7221082107083	16.7602445272988	20.4500632397501	44.427056472421	45.6996766182579	0	39.2388805875655
scaffold3|size57845	0.434070887859544	0.738059307679751	0.326958099260465	0.235719573295664	0.221901420549671	1.79865511799572	0.226609389562926	0.244375046596194	0.315661607869867	0.417002572497546	0.33664649312923	0.226020632029335	0.21126124271595	0.196034827637052	0.437724003957804	0.293287250010935	0.483464091093647	0.623849409367558	0.33606823624067	0.339620301880677	0.468275399982046	0.321282629450915	0.1414813105027	0.427042253921419	0.147703938056051	0	0	0.403265660707935	0.20587782608119	1.48017084345888	0.187347506310326	0.43223280483101	0.417429593175771	0.155225162351795	0.140671685412922	0.329936109971791	0.544567884462359	0.348554915340301	0.288203811537319	0.316793554390368	0.0599407317159813	0.23904439569863	0.276588676441097	0.188019572679122	0	0.213445439172903
scaffold4|size54391	1.05396451936323	2.09764198545796	1.07895868175811	1.0640809348769	0.685334073993906	1.74605644533788	0.565347935815572	0.473486597943204	0.494348595267722	1.87782110326376	1.64509689276847	0.771313596270995	0.455475914907569	0.722007200451028	1.02033555513454	1.01420103576036	1.53590001232363	1.63092541627661	0.847800386580839	1.80968881998791	2.6220547153705	1.80174299201114	1.57785077298078	2.18926665254043	0.356102150624302	0	0	0.723268522316049	0.543708966355086	5.36255401441202	1.00324763578681	1.90373587711577	2.10887739920087	0.390948825254441	0.766327099551951	0.845496439385534	1.67263653573475	1.26480697993004	1.31139424553026	1.77057959584212	0.578407883248091	1.13603292579779	1.87958516457962	1.33678935351487	0	1.3555402103459
scaffold5|size51494	0.965242012706632	2.41352621795307	1.37330930042968	1.03727948124557	0.705555870989264	0.437068439449509	0.613629559012559	1.18735405498139	0.668244797804387	2.47486425509626	1.39723198247804	0.599448414478208	0.542876848461553	0.566076299835442	2.00652621360445	0.975456150680021	2.27451392186792	2.41881400802303	0.747053839055656	1.54270104878178	1.86731443065871	1.09994981548697	0.863834398159563	1.81445216982778	0.371428145108359	0	0	0.860072820808724	0.361278827095639	3.85928794591599	0.602605894087376	1.47759620052348	1.08451466045411	0.335666757921055	0.532115512818502	0.503200047394959	1.13167302611257	0.700248478985528	0.794264803658113	1.00414603865503	0.323367245184734	0.614707791840855	1.07554942174459	0.7915471120828	0	0.76585677185764
scaffold6|size43974	4.80134979068123	7.02634002260148	4.38757470258656	4.77502101211945	2.89955560502602	7.77624644597219	2.60774230884022	2.72488296098179	1.44510139556721	4.40328577465764	4.3859802539257	2.79887532910974	2.09493414739108	2.05665654787796	3.12696082846497	3.65729986932257	4.21373753425433	5.68169379770678	2.11533019419654	7.04580200362767	6.41470735314848	5.93832530942039	6.98364626603943	6.27895120906957	1.75408573907069	0	0	1.81640222171239	3.19794202600173	4.63596691301897	7.89090639445395	8.43233239654444	6.78509406352571	1.29314591544134	6.62776527377668	3.34784303789153	7.32017386730747	7.56332231789342	7.85916690190969	4.9505416140106	3.16983675149532	5.73857140235312	7.21365162697859	6.23647274437231	0	7.45738990591841
scaffold7|size43665	3.99955063266908	11.7185953285511	5.36947193815085	10.6584842534991	2.88570814166011	3.47504436781956	1.65011727309564	4.27074518567365	2.08123373109467	14.3705441248712	14.447777015447	4.23619082958112	4.38824575102479	2.75833215019407	4.3612164483748	2.59258252223175	2.47571565019399	3.10468647382416	2.59646796896774	6.54476240075829	4.25081743544588	4.88398340600237	7.29640610580218	6.07015560950654	2.16142007537824	0	0	2.35873570354412	5.62684756531003	5.20667188075567	8.28881522968631	6.25441019148921	20.3646778587169	0.839545029225872	7.44564331128104	4.06807948720324	5.83273237933986	5.8771132512647	7.55608435567174	5.3601265711668	3.65953434347513	5.51799028337723	5.08289158276974	5.83109091357784	0	5.01558429077548
scaffold8|size41205	88.9685483141216	90.0646361229013	65.608257632852	348.674193777754	11.8604874712646	53.2865903242877	14.3316764909014	11.1086739573357	17.4714388782943	28.926442002882	51.7698367260466	18.6690319057605	16.3379224572392	53.0464864546912	33.5388771015669	36.5863056720782	21.3943915540698	34.6063177565343	11.5237788429974	28.0496973337274	65.0404001965255	53.3750276380377	90.9185161568311	87.8915851224507	9.94995985847322	0	0	29.7832213617001	19.5680622237808	1157.71053867895	91.0047214731868	46.0990717979676	158.362828681713	15.6120333584817	56.6067891513699	181.963973444523	102.753303750326	66.3438017754936	167.618453013797	80.9658810802523	29.6006123579426	47.7634366371772	82.5148980289225	81.1763926656521	0	66.8181997063638
scaffold9|size40844	1486.50223593187	411.39579584808	328.671391343515	269.366993252169	76.0390990740227	1412.88760388779	119.322293986019	250.899100456887	NA	445.566843338107	1003.5165983131	32.0800384973521	184.182949029213	298.435633409509	72.8835039054448	265.35908617638	106.014323946905	222.325916316561	83.1581230593307	448.850757683073	469.466638826039	1870.48898740674	NA	976.852427294458	38.1805943218956	0	0	104.04723340338	NA	338.818006064957	NA	649.938969421045	NA	NA	429.125266184434	NA	NA	NA	771.184503663062	531.495663044144	361.54816944669	233.993012870175	547.940761066999	329.287233558563	0	NA
scaffold10|size39744	5.06760441092657	8.58510445402865	5.3593680713453	6.2160245761717	3.701510280999	15.4643842049999	1.66951952146727	4.135560509152	1.29623038849248	5.09577626295825	13.6131155277007	3.20069502567587	2.78438359698456	2.51436430176523	3.38172683938723	2.96597871619656	4.15613445075568	6.38001486471877	2.07874970238151	7.83015107880268	5.08267407886155	5.84667489292213	15.3844658404946	17.6257388652512	2.29704963640017	0	0	2.57720634069374	6.20665089343984	13.0484307008152	9.83447755279303	8.68950690131776	11.4260018186002	1.47562428106137	13.1800260515257	8.98089071283075	6.74086878663185	6.28134562847207	7.52657531606706	4.82919512507708	5.05784619498643	7.71156851718798	5.88795887294418	4.79653906052995	0	3.79016071519907
